video_id,segment_id,time_s,n_resolved,centroid_x_px,centroid_y_px,width_px,height_px,aspect_ratio,mean_pairwise_px,pairwise_cv,mean_nearest_neighbor_px,nearest_neighbor_cv,major_axis_angle_deg,linearity_index
DOD_111985782,782-A,15.0,3,540.7666666666668,344.5,47.39999999999998,3.0,15.799999999999992,31.681885134179566,0.36063577670208496,22.758822205691658,0.1307583134821388,-2.04337527798008,0.9972899069175927
DOD_111985782,782-A,18.0,4,567.2,358.9,64.30000000000007,6.899999999999977,9.318840579710185,35.91130888851549,0.4416538145089433,21.527743356672904,0.08827367964720219,-1.466474024565441,0.9865208245041489
DOD_111985782,782-A,20.0,3,691.7333333333332,341.59999999999997,64.09999999999991,3.8000000000000114,16.868421052631504,42.819204477270084,0.3582404147276491,31.084507586966836,0.09445196986410485,-3.451225468963792,0.9996673699237164
DOD_111985782,782-A,22.0,4,821.125,467.20000000000005,68.40000000000009,4.5,15.20000000000002,35.87882296837228,0.5598202871830343,19.54174939069931,0.6660734808051287,-4.062737141713993,0.9996453814681464
DOD_111985782,782-A,25.0,4,871.3249999999999,698.95,95.89999999999998,2.8999999999999773,33.06896551724163,51.98450186101089,0.5359394200277395,28.468749008286846,0.5253666517493442,1.7921279623316433,0.9998873170295984
DOD_111985782,782-A,28.0,4,741.125,707.975,96.10000000000002,2.400000000000091,40.04166666666516,51.02326073674431,0.5440064835909658,28.464767368712554,0.5654773159268764,0.20370977758740866,0.9991567962245957
DOD_111985782,782-A,30.0,4,883.85,778.95,80.70000000000005,7.399999999999977,10.905405405405444,43.864200927317626,0.46398938106443827,25.2930154943488,0.24805358651103468,-5.535174539289785,0.9995707074338794
DOD_111985782,782-A,35.0,5,752.2,649.5,183.0,17.09999999999991,10.70175438596497,100.66244104123737,0.5332221275139108,32.80154702436384,0.44518500962161806,3.1786114726555383,0.9968504968002924
DOD_111985782,782-A,40.0,4,1101.475,692.2,129.29999999999995,24.700000000000045,5.23481781376517,82.75333617943971,0.5228807274275613,23.58996409467244,0.1955438602436571,5.785124113551493,0.9820251069845785
DOD_111985782,782-A,45.0,6,211.1,874.5333333333333,99.10000000000002,31.5,3.146031746031747,49.37661618346834,0.471998490609864,26.99316959680976,0.20746693036459632,-1.6080726761279636,0.9009675452775096
DOD_111719718,718-A,30.0,4,743.2,434.75,186.60000000000002,66.20000000000005,2.818731117824772,107.14154104550319,0.5858008475852409,58.75858462954662,0.7215743559564086,-20.08865208195907,0.9806771843504517
DOD_111719718,718-A,60.0,4,1147.275,388.875,302.5,215.19999999999993,1.4056691449814132,195.92790293966357,0.7321867999164093,108.02572432215167,1.0995480233254533,-36.400283950767026,0.9746362855933179
DOD_111719718,718-A,90.0,3,586.8,567.1,228.99999999999994,102.5,2.234146341463414,167.72242247930754,0.5407974194937729,98.9790731573762,0.8320321175951244,-24.330689217913253,0.990929252538873
DOD_111719718,718-A,120.0,4,1098.125,300.25,483.0,191.2,2.526150627615063,265.3809536438674,0.8529346779224883,137.89070922444785,1.372552839125634,-21.833605422976238,0.997076515548386
DOD_111719718,718-B,240.0,3,1086.4666666666665,392.0333333333333,90.59999999999991,8.900000000000034,10.179775280898827,60.753549573147644,0.3641181906450925,43.34499790540459,0.14794874168875352,5.791331067264361,0.9986692649843203
DOD_111719718,718-B,270.0,4,1071.7,558.15,159.89999999999998,86.69999999999993,1.8442906574394475,100.23638672360342,0.5654689853158463,56.12318520770591,0.7118327305881798,-29.587022137785258,0.9579236433160632
DOD_111719718,718-B,330.0,4,944.1500000000001,363.45,258.0,133.89999999999998,1.9268110530246456,150.26233212058244,0.7442873802089686,80.98376047004538,1.1046392725078842,-28.145748881700182,0.9894524446104154
DOD_111719718,718-C,360.0,3,1126.1000000000001,407.7,175.79999999999995,84.59999999999997,2.0780141843971633,132.53851988181094,0.4289251541600673,86.73810231903282,0.47985564940220554,-27.69791149260444,0.9803351268004137
DOD_111719718,718-C,390.0,3,1081.4333333333334,513.4666666666667,88.29999999999995,71.89999999999998,1.2280945757997217,86.53239754918935,0.12104844925078459,78.26759319178773,0.10908710407493886,17.265878225447107,0.4933336490522887
